,freq
cultural,239
heritage,209
information,194
embodied,168
encoding,102
interaction,96
decoding,93
user,76
through,64
body,62
users,61
cognition,53
framework,50
spaces,47
environments,46
cognitive,46
virtual,45
experience,45
meaning,44
human,39
studies,39
process,38
digital,37
journal,37
processing,37
model,37
wang,36
system,35
proceedings,34
reality,34
not,33
research,33
engagement,33
elements,32
theory,32
which,31
management,30
evaluation,29
environment,29
how,28
immersive,28
design,27
physical,27
experiences,26
science,26
emotional,26
embodiment,25
technologies,25
international,25
hall,24
conference,24
computing,24
analysis,24
theoretical,23
understanding,23
data,23
interactive,23
sociocultural,23
but,22
technology,22
systems,22
content,21
historical,21
knowledge,21
perception,20
grounded,20
feedback,20
interpretation,20
computer,20
dynamic,20
bodily,19
processes,19
association,18
real,18
including,18
physiological,18
sensory,18
making,18
synthesis,17
contexts,17
meta,17
empirical,16
sense,16
social,16
media,16
review,16
its,16
qualitative,16
interface,16
fig,15
development,15
symbolic,15
key,15
zhang,15
construction,15
narrative,15
communication,15
intangible,15
time,15
memory,15
level,15
museum,14
coding,14
article,14
space,14
only,14
actions,14
objects,13
visual,13
mechanisms,13
traditional,13
action,13
interactions,13
categories,13
thereby,12
conceptual,12
form,12
performance,12
encoded,12
practices,12
