,freq
information,310
human,200
knowledge,165
cognitive,157
language,139
models,124
model,115
moe,113
processing,110
construction,110
load,109
dense,103
quality,103
response,101
large,95
question,94
complexity,74
responses,74
linguistic,71
structural,66
learning,63
experts,59
questions,58
performance,53
clarity,52
domain,52
research,49
which,49
chen,47
perception,46
tasks,46
management,45
high,44
computer,43
how,43
its,43
arxiv,42
dimensions,42
content,41
affinity,41
interaction,41
theory,40
analysis,40
cid,38
task,38
chatgpt,37
contextual,36
sources,36
specificity,35
wei,34
higher,34
journal,33
expert,33
answers,32
representational,32
data,32
complex,31
science,31
architectures,31
indicators,30
framework,30
semantic,30
deepseek,30
cues,30
through,30
not,30
but,29
llm,29
generated,29
evaluation,29
collaborative,29
features,29
effects,28
wang,28
accuracy,28
alignment,27
while,27
architecture,26
dimension,26
different,25
intrinsic,25
level,25
all,25
zhang,24
article,24
problem,24
theoretical,24
influence,23
levels,23
expressive,23
text,23
huang,22
generation,22
systems,22
liu,22
studies,22
outputs,21
educational,21
lexical,21
source,21
understanding,21
sentence,20
processes,20
open,20
density,20
significantly,20
intelligence,20
only,19
comprehension,19
social,18
further,18
relevance,18
answer,18
traits,18
significant,18
mechanisms,18
artificial,18
greater,17
positive,17
reasoning,17
