,freq
policy,340
evaluation,164
pmc,133
model,117
policies,82
index,72
text,66
chinese,58
framework,51
classification,47
automated,46
science,44
information,43
models,43
level,43
its,41
data,40
indicators,40
technology,40
large,39
domain,38
research,37
china,36
management,35
texts,34
llama,33
qwen,32
processing,31
multi,31
analysis,31
performance,29
first,28
language,28
specific,27
training,27
cross,25
wang,24
indicator,24
quantitative,23
system,23
all,22
zhang,21
bert,21
high,21
journal,21
development,20
scale,20
calculation,19
innovation,19
design,18
through,18
normativity,18
precision,18
whether,18
character,17
implementation,17
label,16
application,16
documents,16
second,16
surface,16
content,16
semantic,16
modeling,16
consistency,16
scientific,16
function,16
which,15
effectiveness,15
fig,15
recall,15
not,15
score,15
applied,14
normalized,14
learning,14
tasks,14
optimization,13
trained,13
context,13
scores,13
huo,12
liu,12
construction,12
automatic,12
public,12
accuracy,12
proposed,12
but,12
fine,12
process,12
quality,11
constructed,11
yang,11
approach,11
biosafety,11
dataset,11
set,11
providing,11
structure,11
efficiency,10
limitations,10
features,10
task,10
only,10
industry,10
deep,10
estrada,10
long,10
evaluate,10
pre,10
computational,10
distribution,10
article,10
dimensions,10
attributes,10
samples,9
address,9
enabling,9
gpu,9
