,freq
pattern,176
patterns,136
urban,130
problem,119
problems,109
counties,73
fig,61
land,59
data,52
management,50
county,41
cluster,41
complaints,38
complaint,38
pti,37
china,36
analysis,36
distributions,36
processing,35
while,34
information,34
factors,33
zhejiang,32
socioeconomic,30
driven,29
development,29
public,28
dong,28
per,28
than,27
kong,27
governance,27
membership,26
distribution,26
housing,26
including,26
issues,25
economic,25
pollution,24
sales,24
evolution,24
example,23
not,23
clusters,23
model,23
temporal,23
level,22
correlation,22
classification,22
service,21
capita,21
dag,20
infrastructure,20
where,19
dominant,19
causal,19
significantly,18
representative,18
text,18
term,18
label,17
which,17
article,17
trajectories,17
models,17
expropriation,17
dags,17
characterized,16
evolutionary,16
consumer,16
related,16
time,16
rural,16
clustering,16
ensemble,15
journal,15
causation,15
memberships,15
relationships,15
first,15
years,15
government,15
quality,15
environmental,15
significant,14
administrative,14
similarity,14
wang,14
road,14
only,14
four,14
exhibit,14
services,14
higher,14
fine,14
rather,14
short,14
liu,14
persistence,13
municipal,13
its,13
financial,13
pandemic,13
emerging,13
gdp,13
zhang,13
proportions,13
suggesting,13
control,13
due,13
volume,12
year,12
social,12
tuning,12
meta,12
garbage,12
large,12
cities,12
typical,12
qwen,12
