,freq
domain,458
mml,297
sequential,229
rec,227
hybrid,201
recommendation,181
preferences,163
mamba,161
domains,154
sasrec,126
interaction,126
performance,117
gru,111
sequences,99
user,95
learning,94
data,89
multi,84
item,80
sequence,79
all,77
different,73
models,71
knowledge,66
task,65
items,64
information,59
time,58
which,55
contrastive,55
intra,51
some,50
than,49
pan,47
movie,46
meanwhile,46
model,44
proceedings,43
conference,42
interacted,41
capture,41
hspl,40
management,36
ndcg,36
because,34
cross,34
book,34
training,34
fig,34
acm,32
liu,32
same,32
transfer,31
better,31
learn,31
users,31
set,31
bhd,30
number,30
behavior,30
ispl,30
processing,29
wang,29
international,29
respectively,29
complexity,29
when,28
unbiased,27
where,27
obtained,26
arxiv,26
only,26
inference,25
matrix,25
augmented,25
without,25
embedding,25
encoder,24
other,24
dsr,24
prediction,24
target,24
regularizer,24
cases,24
leverages,24
mdsr,23
bta,23
input,23
shown,23
specific,22
backbone,22
tjapl,21
not,21
single,21
leveraging,20
augmentation,20
separate,20
modeling,20
problem,20
lin,19
large,19
compared,19
cdsr,19
original,19
xie,18
achieve,18
there,18
datasets,18
denotes,18
attention,18
achieves,18
zhao,18
imbalance,17
long,17
then,17
operation,16
mask,16
state,16
embeddings,16
zhang,16
